Key1,Proyecto,Species,DAP_INDIV,AB_INDIV,VOL_COM,VOL_TOTAL,H_TOTAL,H_FUSTE,BIOM_INDIV,CARB_INDIV,Sum_CARB_INDIV,Sum_ID_INDV_MU,Count_ESPECIE
219,EIA PPII - PLATERO sobre YNC,Coussarea paniculata (Vahl) Standl.,0.150571603,0.0210009,0.675511502,0.164285479,11.6,9.2,0.006385568,0.003192783,0.015963917,114,5
220,EIA PPII - PLATERO sobre YNC,Ocotea aurantiodora (Ruiz & Pav.) Mez,0.101859003,0.00814873,0.045632899,0.057041101,10,8,0.000638747,0.000319374,0.000319374,22,1
221,EIA PPII - PLATERO sobre YNC,Calyptranthes speciosa Sagot,0.147483334,0.017265667,0.342925794,0.147291102,12,9.333333333,0.003869413,0.001934703,0.005804108,56,3
222,EIA PPII - PLATERO sobre YNC,Eschweilera antioquensis Dugand & H.Daniel,0.302923754,0.084786225,1.958146475,0.698558072,12,8.25,0.080928325,0.040464137,0.161856549,65,4
223,EIA PPII - PLATERO sobre YNC,Annona reticulata L.,0.149824996,0.01826495,0.243299093,0.167475794,12,7.5,0.00571747,0.002858726,0.005717451,45,2
224,EIA PPII - PLATERO sobre YNC,Garcinia madruno (Kunth) Hammel,0.151197251,0.020013732,0.442804307,0.141666973,9.25,7,0.005064032,0.002532016,0.010128063,111,4
225,EIA PPII - PLATERO sobre YNC,Machaerium biovulatum Micheli,0.335098001,0.093660084,5.098543972,0.997011999,14.66666667,12.16666667,0.14777515,0.073887517,0.4433251,80,6
226,EIA PPII - PLATERO sobre YNC,Huberodendron patinoi Cuatrec.,0.143239006,0.016114401,0.067680597,0.112801,10,6,0.00222756,0.00111378,0.00111378,24,1
227,EIA PPII - PLATERO sobre YNC,Hieronyma sp.01,0.241916001,0.045963898,0.321747988,0.450446993,14,10,0.028149299,0.0140746,0.0140746,20,1
228,EIA PPII - PLATERO sobre YNC,Swartzia simplex (Sw.) Spreng.,0.206901498,0.03649425,0.322282098,0.224020049,8.5,5.5,0.00984196,0.004920981,0.009841962,25,2
